,,,,,
,,,,,
,,,,,
JSON,name,ring,quadrant,isNew,description
"{""name"": ""AWS"", ""ring"": ""Adopt"", ""quadrant"": ""Platforms"", ""description"": ""Primary infrastructure platform used for a majority of our services, offering scalability, reliability, and a wide range of cloud services including computing, storage, and databases.""},",AWS,Adopt,Platforms,FALSE,"Primary infrastructure platform used for a majority of our services, offering scalability, reliability, and a wide range of cloud services including computing, storage, and databases."
"{""name"": ""Kubernetes"", ""ring"": ""Adopt"", ""quadrant"": ""Platforms"", ""description"": ""Core platform for deploying and managing containerized applications, enabling efficient orchestration, scaling, and management of microservices across clusters.""},",Kubernetes,Adopt,Platforms,FALSE,"Core platform for deploying and managing containerized applications, enabling efficient orchestration, scaling, and management of microservices across clusters."
"{""name"": ""Jenkins"", ""ring"": ""Hold"", ""quadrant"": ""Platforms"", ""description"": ""Legacy CI tool being phased out in favor of more modern solutions such as CircleCI and GitHub Actions, due to its complexity and maintenance overhead.""},",Jenkins,Hold,Platforms,FALSE,"Legacy CI tool being phased out in favor of more modern solutions such as CircleCI and GitHub Actions, due to its complexity and maintenance overhead."
"{""name"": ""GitHub source control"", ""ring"": ""Adopt"", ""quadrant"": ""Platforms"", ""description"": ""Essential for source code management and collaboration, providing version control, code review, and project management features to streamline development workflows.""},",GitHub source control,Adopt,Platforms,FALSE,"Essential for source code management and collaboration, providing version control, code review, and project management features to streamline development workflows."
"{""name"": ""GitHub Actions"", ""ring"": ""Assess"", ""quadrant"": ""Platforms"", ""description"": ""Continuous integration and continuous delivery (CI/CD) platform that allows you to automate your build, test, and deployment pipeline""},",GitHub Actions,Assess,Platforms,FALSE,"Continuous integration and continuous delivery (CI/CD) platform that allows you to automate your build, test, and deployment pipeline"
"{""name"": ""GitHub Copilot"", ""ring"": ""Trial"", ""quadrant"": ""Tools"", ""description"": ""GitHub Copilot is a code completion tool developed by GitHub and OpenAI that assists users of Visual Studio Code, Visual Studio, Neovim, and JetBrains integrated development environments by autocompleting code.""},",GitHub Copilot,Trial,Tools,TRUE,"GitHub Copilot is a code completion tool developed by GitHub and OpenAI that assists users of Visual Studio Code, Visual Studio, Neovim, and JetBrains integrated development environments by autocompleting code."
"{""name"": ""ChatGPT"", ""ring"": ""Trial"", ""quadrant"": ""Tools"", ""description"": ""The app analyzes the code in a given GitHub repository and provides recommendations to enhance the code.""},",ChatGPT,Trial,Tools,TRUE,The app analyzes the code in a given GitHub repository and provides recommendations to enhance the code.
"{""name"": ""Factory.ai"", ""ring"": ""Trial"", ""quadrant"": ""Tools"", ""description"": ""AI factories use tools to automate data cleaning, transformation, labeling, and augmentation, ensuring that datasets are ready for training with minimal human intervention.""},",Factory.ai,Trial,Tools,TRUE,"AI factories use tools to automate data cleaning, transformation, labeling, and augmentation, ensuring that datasets are ready for training with minimal human intervention."
"{""name"": ""CircleCI"", ""ring"": ""Trial"", ""quadrant"": ""Platforms"", ""description"": ""CI & CD platform under evaluation to replace Jenkins and GitHub Actions, offering streamlined pipelines, advanced features, and better integration with our existing tools.""},",CircleCI,Trial,Platforms,FALSE,"CI & CD platform under evaluation to replace Jenkins and GitHub Actions, offering streamlined pipelines, advanced features, and better integration with our existing tools."
"{""name"": ""Prometheus stack"", ""ring"": ""Adopt"", ""quadrant"": ""Platforms"", ""description"": ""Key platform for observability and monitoring, providing powerful metrics collection, querying, and alerting capabilities to ensure system reliability and performance.""},",Prometheus stack,Adopt,Platforms,FALSE,"Key platform for observability and monitoring, providing powerful metrics collection, querying, and alerting capabilities to ensure system reliability and performance."
